ProMAX Data Export: List/Table - 213_hor-03
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213      2180   3944.62
      213      2185   3944.93
      213      2190   3945.24
      213      2195   3945.55
      213      2200   3945.86
      213      2205   3946.17
      213      2210   3946.48
      213      2215   3946.78
      213      2220   3947.09
      213      2225   3947.40
      213      2230   3947.71
      213      2235   3948.02
      213      2240   3948.33
      213      2245   3948.63
      213      2250   3948.94
      213      2255   3949.25
      213      2260   3949.56
      213      2265   3949.87
      213      2270   3950.18
      213      2275   3950.48
      213      2280   3950.79
      213      2285   3951.10
      213      2290   3951.41
      213      2295   3951.72
      213      2300   3952.03
      213      2305   3952.33
      213      2310   3952.64
      213      2315   3952.95
      213      2320   3953.26
      213      2325   3953.57
      213      2330   3953.88
      213      2335   3954.19
      213      2340   3954.49
      213      2345   3954.80
      213      2350   3955.11
      213      2355   3955.42
      213      2360   3955.73
      213      2365   3956.04
      213      2370   3956.34
      213      2375   3956.65
      213      2380   3956.96
      213      2385   3957.27
      213      2390   3957.58
      213      2395   3957.89
      213      2400   3958.19
      213      2405   3958.50
      213      2410   3958.81
      213      2415   3959.12
      213      2420   3959.43
      213      2425   3959.74
      213      2430   3960.02
      213      2435   3960.29
      213      2440   3960.54
      213      2445   3960.71
      213      2450   3960.80
      213      2455   3960.82
      213      2460   3960.77
      213      2465   3960.64
      213      2470   3960.43
      213      2475   3960.15
      213      2480   3959.79
      213      2485   3959.36
      213      2490   3958.85
      213      2495   3958.26
      213      2500   3957.60
      213      2505   3956.89
      213      2510   3956.12
      213      2515   3955.29
      213      2520   3954.46
      213      2525   3953.64
      213      2530   3952.81
      213      2535   3951.99
      213      2540   3951.16
      213      2545   3950.34
      213      2550   3949.51
      213      2555   3948.69
      213      2560   3947.86
      213      2565   3947.03
      213      2570   3946.21
      213      2575   3945.38
      213      2580   3944.56
      213      2585   3943.73
      213      2590   3942.91
      213      2595   3942.08
      213      2600   3941.26
      213      2605   3940.43
      213      2610   3939.60
      213      2615   3938.78
      213      2620   3937.95
      213      2625   3937.13
      213      2630   3936.30
      213      2635   3935.48
      213      2640   3934.65
      213      2645   3933.82
      213      2650   3933.00
      213      2655   3932.17
      213      2660   3931.35
      213      2665   3930.52
      213      2670   3929.70
      213      2675   3928.87
      213      2680   3928.05
      213      2685   3927.22
      213      2690   3926.39
      213      2695   3925.57
      213      2700   3924.74
      213      2705   3923.92
      213      2710   3923.09
      213      2715   3922.27
      213      2720   3921.44
      213      2725   3920.61
      213      2730   3919.79
      213      2735   3918.96
      213      2740   3918.14
      213      2745   3917.31
      213      2750   3916.49
      213      2755   3915.66
      213      2760   3914.84
      213      2765   3914.01
      213      2770   3913.18
      213      2775   3912.36
      213      2780   3911.53
      213      2785   3910.71
      213      2790   3909.88
      213      2795   3909.06
      213      2800   3908.23
      213      2805   3907.41
      213      2810   3906.58
      213      2815   3905.75
      213      2820   3905.09
      213      2825   3904.59
      213      2830   3904.24
      213      2835   3903.93
      213      2840   3903.65
      213      2845   3903.40
      213      2850   3903.19
      213      2855   3903.00
      213      2860   3902.85
      213      2865   3902.73
      213      2870   3902.64
      213      2875   3902.58
      213      2880   3902.55
      213      2885   3902.56
      213      2890   3902.59
      213      2895   3902.50
      213      2900   3902.28
      213      2905   3901.93
      213      2910   3901.58
      213      2915   3901.22
      213      2920   3900.87
      213      2925   3900.52
      213      2930   3900.17
      213      2935   3899.82
      213      2940   3899.47
      213      2945   3899.12
      213      2950   3898.76
      213      2955   3898.41
      213      2960   3898.06
      213      2965   3897.71
      213      2970   3897.36
      213      2975   3897.01
      213      2980   3896.66
      213      2985   3896.30
      213      2990   3895.95
      213      2995   3895.60
      213      3000   3895.25
      213      3005   3894.90
      213      3010   3894.55
      213      3015   3894.20
      213      3020   3893.85
      213      3025   3893.49
      213      3030   3893.14
      213      3035   3892.79
      213      3040   3892.44
      213      3045   3892.09
      213      3050   3891.74
      213      3055   3891.39
      213      3060   3891.03
      213      3065   3890.68
      213      3070   3890.33
      213      3075   3889.98
      213      3080   3889.63
      213      3085   3889.28
      213      3090   3888.93
      213      3095   3888.57
      213      3100   3888.22
      213      3105   3887.87
      213      3110   3887.52
      213      3115   3887.17
      213      3120   3886.82
      213      3125   3886.47
      213      3130   3886.11
      213      3135   3885.76
      213      3140   3885.41
      213      3145   3885.06
      213      3150   3884.71
      213      3155   3884.36
      213      3160   3884.01
      213      3165   3883.66
      213      3170   3883.30
      213      3175   3882.95
      213      3180   3882.60
      213      3185   3882.25
      213      3190   3881.90
      213      3195   3881.55
      213      3200   3881.20
      213      3205   3880.84
      213      3210   3880.49
      213      3215   3880.14
      213      3220   3879.79
      213      3225   3879.44
      213      3230   3879.09
      213      3235   3878.74
      213      3240   3878.38
      213      3245   3878.03
      213      3250   3877.68
      213      3255   3877.33
      213      3260   3876.98
      213      3265   3876.63
      213      3270   3876.28
      213      3275   3875.93
      213      3280   3875.57
      213      3285   3875.22
      213      3290   3874.87
      213      3295   3874.52
      213      3300   3874.17
      213      3305   3873.82
      213      3310   3873.47
      213      3315   3873.11
      213      3320   3872.76
      213      3325   3872.41
      213      3330   3872.06
      213      3335   3871.71
      213      3340   3871.36
      213      3345   3871.01
      213      3350   3870.65
      213      3355   3870.30
      213      3360   3869.95
      213      3365   3869.60
      213      3370   3869.25
      213      3375   3868.90
      213      3380   3868.55
      213      3385   3868.19
      213      3390   3867.84
      213      3395   3867.49
      213      3400   3867.14
      213      3405   3866.79
      213      3410   3866.44
      213      3415   3866.09
      213      3420   3865.74
      213      3425   3865.38
      213      3430   3865.03
      213      3435   3864.68
      213      3440   3864.33
      213      3445   3863.94
      213      3450   3863.50
      213      3455   3863.02
      213      3460   3862.50
      213      3465   3861.94
      213      3470   3861.34
      213      3475   3860.69
      213      3480   3860.00
      213      3485   3859.27
      213      3490   3858.50
      213      3495   3857.68
      213      3500   3856.82
      213      3505   3855.92
      213      3510   3854.98
      213      3515   3854.00
      213      3520   3853.01
      213      3525   3852.03
      213      3530   3851.04
      213      3535   3850.06
      213      3540   3849.07
      213      3545   3848.09
      213      3550   3847.10
      213      3555   3846.12
      213      3560   3845.14
      213      3565   3844.15
      213      3570   3843.17
      213      3575   3842.18
      213      3580   3841.20
      213      3585   3840.21
      213      3590   3839.23
      213      3595   3838.25
      213      3600   3837.26
      213      3605   3836.28
      213      3610   3835.29
      213      3615   3834.31
      213      3620   3833.32
      213      3625   3832.34
      213      3630   3831.35
      213      3635   3830.37
      213      3640   3829.39
      213      3645   3828.40
      213      3650   3827.42
      213      3655   3826.43
      213      3660   3825.45
      213      3665   3824.46
      213      3670   3823.48
      213      3675   3822.50
      213      3680   3821.51
      213      3685   3820.53
      213      3690   3819.54
      213      3695   3818.56
      213      3700   3817.57
      213      3705   3816.59
      213      3710   3815.60
      213      3715   3814.62
      213      3720   3813.64
      213      3725   3812.65
      213      3730   3811.67
      213      3735   3810.68
      213      3740   3809.70
      213      3745   3808.71
      213      3750   3807.73
      213      3755   3806.75
      213      3760   3805.76
      213      3765   3804.78
      213      3770   3803.79
      213      3775   3802.81
      213      3780   3801.82
      213      3785   3800.84
      213      3790   3799.85
      213      3795   3798.87
      213      3800   3797.89
      213      3805   3796.90
      213      3810   3795.92
      213      3815   3794.93
      213      3820   3793.95
      213      3825   3792.96
      213      3830   3791.98
      213      3835   3791.00
      213      3840   3790.01
      213      3845   3789.03
      213      3850   3788.04
      213      3855   3787.06
      213      3860   3786.07
      213      3865   3785.09
      213      3870   3784.10
      213      3875   3783.12
      213      3880   3782.14
      213      3885   3781.15
      213      3890   3780.17
      213      3895   3779.18
      213      3900   3778.20
      213      3905   3777.21
      213      3910   3776.23
      213      3915   3775.25
      213      3920   3774.26
      213      3925   3773.28
      213      3930   3772.29
      213      3935   3771.31
      213      3940   3770.32
      213      3945   3769.34
      213      3950   3768.35
      213      3955   3767.37
      213      3960   3766.39
      213      3965   3765.40
      213      3970   3764.42
      213      3975   3763.43
      213      3980   3762.45
      213      3985   3761.46
      213      3990   3760.48
      213      3995   3759.50
      213      4000   3758.51
      213      4005   3757.53
      213      4010   3756.54
      213      4015   3755.56
      213      4020   3754.57
      213      4025   3753.59
      213      4030   3752.60
      213      4035   3751.62
      213      4040   3750.64
      213      4045   3749.65
      213      4050   3748.67
      213      4055   3747.68
      213      4060   3746.70
      213      4065   3745.71
      213      4070   3744.73
      213      4075   3743.75
      213      4080   3742.76
      213      4085   3741.78
