ProMAX Data Export: List/Table - 213_hor-05_bottom
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213       940   7990.00
      213       945   7990.00
      213       950   7990.00
      213       955   7990.00
      213       960   7990.00
      213       965   7990.00
      213       970   7990.00
      213       975   7990.00
      213       980   7990.00
      213       985   7990.00
      213       990   7990.00
      213       995   7990.00
      213      1000   7990.00
      213      1005   7990.00
      213      1010   7990.00
      213      1015   7990.00
      213      1020   7990.00
      213      1025   7990.00
      213      1030   7990.00
      213      1035   7990.00
      213      1040   7990.00
      213      1045   7990.00
      213      1050   7990.00
      213      1055   7990.00
      213      1060   7990.00
      213      1065   7990.00
      213      1070   7990.00
      213      1075   7990.00
      213      1080   7990.00
      213      1085   7990.00
      213      1090   7990.00
      213      1095   7990.00
      213      1100   7990.00
      213      1105   7990.00
      213      1110   7990.00
      213      1115   7990.00
      213      1120   7990.00
      213      1125   7990.00
      213      1130   7990.00
      213      1135   7990.00
      213      1140   7990.00
      213      1145   7990.00
      213      1150   7990.00
      213      1155   7990.00
      213      1160   7990.00
      213      1165   7990.00
      213      1170   7990.00
      213      1175   7990.00
      213      1180   7990.00
      213      1185   7990.00
      213      1190   7990.00
      213      1195   7990.00
      213      1200   7990.00
      213      1205   7990.00
      213      1210   7990.00
      213      1215   7990.00
      213      1220   7990.00
      213      1225   7990.00
      213      1230   7990.00
      213      1235   7990.00
      213      1240   7990.00
      213      1245   7990.00
      213      1250   7990.00
      213      1255   7990.00
      213      1260   7990.00
      213      1265   7990.00
      213      1270   7990.00
      213      1275   7990.00
      213      1280   7990.00
      213      1285   7990.00
      213      1290   7990.00
      213      1295   7990.00
      213      1300   7990.00
      213      1305   7990.00
      213      1310   7990.00
      213      1315   7990.00
      213      1320   7990.00
      213      1325   7990.00
      213      1330   7990.00
      213      1335   7990.00
      213      1340   7990.00
      213      1345   7990.00
      213      1350   7990.00
      213      1355   7990.00
      213      1360   7990.00
      213      1365   7990.00
      213      1370   7990.00
      213      1375   7990.00
      213      1380   7990.00
      213      1385   7990.00
      213      1390   7990.00
      213      1395   7990.00
      213      1400   7990.00
      213      1405   7990.00
      213      1410   7990.00
      213      1415   7990.00
      213      1420   7990.00
      213      1425   7990.00
      213      1430   7990.00
      213      1435   7990.00
      213      1440   7990.00
      213      1445   7990.00
      213      1450   7990.00
      213      1455   7990.00
      213      1460   7990.00
      213      1465   7990.00
      213      1470   7990.00
      213      1475   7990.00
      213      1480   7990.00
      213      1485   7990.00
      213      1490   7990.00
      213      1495   7990.00
      213      1500   7990.00
      213      1505   7990.00
      213      1510   7990.00
      213      1515   7990.00
      213      1520   7990.00
      213      1525   7990.00
      213      1530   7990.00
      213      1535   7990.00
      213      1540   7990.00
      213      1545   7990.00
      213      1550   7990.00
      213      1555   7990.00
      213      1560   7990.00
      213      1565   7990.00
      213      1570   7990.00
      213      1575   7990.00
      213      1580   7990.00
      213      1585   7990.00
      213      1590   7990.00
      213      1595   7990.00
      213      1600   7990.00
      213      1605   7990.00
      213      1610   7990.00
      213      1615   7990.00
      213      1620   7990.00
      213      1625   7990.00
      213      1630   7990.00
      213      1635   7990.00
      213      1640   7990.00
      213      1645   7990.00
      213      1650   7990.00
      213      1655   7990.00
      213      1660   7990.00
      213      1665   7990.00
      213      1670   7990.00
      213      1675   7990.00
      213      1680   7990.00
      213      1685   7990.00
      213      1690   7990.00
      213      1695   7990.00
      213      1700   7990.00
      213      1705   7990.00
      213      1710   7990.00
      213      1715   7990.00
      213      1720   7990.00
      213      1725   7990.00
      213      1730   7990.00
      213      1735   7990.00
      213      1740   7990.00
      213      1745   7990.00
      213      1750   7990.00
      213      1755   7990.00
      213      1760   7990.00
      213      1765   7990.00
      213      1770   7990.00
      213      1775   7990.00
      213      1780   7990.00
      213      1785   7990.00
      213      1790   7990.00
      213      1795   7990.00
