ProMAX Data Export: List/Table - 213_hor-04
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213      2580   5692.03
      213      2585   5693.94
      213      2590   5695.84
      213      2595   5697.75
      213      2600   5699.65
      213      2605   5701.56
      213      2610   5703.47
      213      2615   5705.37
      213      2620   5707.28
      213      2625   5709.19
      213      2630   5711.09
      213      2635   5713.00
      213      2640   5714.91
      213      2645   5716.81
      213      2650   5718.72
      213      2655   5720.63
      213      2660   5722.53
      213      2665   5724.44
      213      2670   5726.34
      213      2675   5728.25
      213      2680   5730.16
      213      2685   5732.06
      213      2690   5733.97
      213      2695   5735.88
      213      2700   5737.78
      213      2705   5739.69
      213      2710   5741.60
      213      2715   5743.50
      213      2720   5745.41
      213      2725   5747.31
      213      2730   5749.22
      213      2735   5751.13
      213      2740   5753.03
      213      2745   5754.94
      213      2750   5756.85
      213      2755   5758.75
      213      2760   5760.66
      213      2765   5762.57
      213      2770   5764.47
      213      2775   5766.38
      213      2780   5768.28
      213      2785   5770.19
      213      2790   5772.10
      213      2795   5774.00
      213      2800   5775.91
      213      2805   5777.82
      213      2810   5779.72
      213      2815   5781.63
      213      2820   5783.54
      213      2825   5785.44
      213      2830   5787.35
      213      2835   5789.25
      213      2840   5791.16
      213      2845   5793.07
      213      2850   5794.97
      213      2855   5796.88
      213      2860   5798.79
      213      2865   5800.69
      213      2870   5802.60
      213      2875   5804.51
      213      2880   5806.41
      213      2885   5808.32
      213      2890   5810.23
      213      2895   5812.13
      213      2900   5814.04
      213      2905   5815.94
      213      2910   5817.85
      213      2915   5819.76
      213      2920   5821.66
      213      2925   5823.57
      213      2930   5825.48
      213      2935   5827.38
      213      2940   5829.29
      213      2945   5831.20
      213      2950   5833.10
      213      2955   5835.01
      213      2960   5836.92
      213      2965   5838.82
      213      2970   5840.73
      213      2975   5842.63
      213      2980   5844.54
      213      2985   5846.45
      213      2990   5848.35
      213      2995   5850.26
      213      3000   5852.17
      213      3005   5854.07
      213      3010   5855.98
      213      3015   5857.89
      213      3020   5859.79
      213      3025   5861.70
      213      3030   5863.60
      213      3035   5865.51
      213      3040   5867.42
      213      3045   5869.32
      213      3050   5871.23
      213      3055   5873.14
      213      3060   5875.04
      213      3065   5876.95
      213      3070   5878.86
      213      3075   5880.76
      213      3080   5882.67
      213      3085   5884.58
      213      3090   5886.48
      213      3095   5888.39
      213      3100   5890.29
      213      3105   5892.20
      213      3110   5894.11
      213      3115   5896.01
      213      3120   5897.92
      213      3125   5899.79
      213      3130   5901.63
      213      3135   5903.43
      213      3140   5905.20
      213      3145   5906.94
      213      3150   5908.64
      213      3155   5910.30
      213      3160   5911.93
      213      3165   5913.53
      213      3170   5915.09
      213      3175   5916.62
      213      3180   5918.12
      213      3185   5919.57
      213      3190   5921.00
      213      3195   5922.39
      213      3200   5923.78
      213      3205   5925.17
      213      3210   5926.56
      213      3215   5927.95
      213      3220   5929.34
      213      3225   5930.73
      213      3230   5932.13
      213      3235   5933.52
      213      3240   5934.91
      213      3245   5936.30
      213      3250   5937.69
      213      3255   5939.08
      213      3260   5940.47
      213      3265   5941.86
      213      3270   5943.25
      213      3275   5944.64
      213      3280   5946.03
      213      3285   5947.42
      213      3290   5948.81
      213      3295   5950.20
      213      3300   5951.59
      213      3305   5952.99
      213      3310   5954.38
      213      3315   5955.77
      213      3320   5957.16
      213      3325   5958.55
      213      3330   5959.94
      213      3335   5961.33
      213      3340   5962.72
      213      3345   5964.11
      213      3350   5965.50
      213      3355   5966.89
      213      3360   5968.28
      213      3365   5969.67
      213      3370   5971.06
      213      3375   5972.45
      213      3380   5973.85
      213      3385   5975.24
      213      3390   5976.63
      213      3395   5978.02
      213      3400   5979.41
      213      3405   5980.80
      213      3410   5982.19
      213      3415   5983.58
      213      3420   5984.97
      213      3425   5986.36
      213      3430   5987.75
      213      3435   5989.14
      213      3440   5990.53
      213      3445   5991.92
      213      3450   5993.31
      213      3455   5994.71
      213      3460   5996.10
      213      3465   5997.49
      213      3470   5998.88
      213      3475   6000.27
      213      3480   6001.66
      213      3485   6003.05
      213      3490   6004.44
      213      3495   6005.83
      213      3500   6007.22
      213      3505   6008.61
      213      3510   6010.00
      213      3515   6011.39
      213      3520   6012.78
      213      3525   6014.18
      213      3530   6015.57
      213      3535   6016.96
      213      3540   6018.35
      213      3545   6019.74
      213      3550   6021.13
      213      3555   6022.52
      213      3560   6023.91
      213      3565   6025.30
      213      3570   6026.69
      213      3575   6028.08
      213      3580   6029.47
      213      3585   6030.86
      213      3590   6032.25
      213      3595   6033.65
      213      3600   6035.04
      213      3605   6036.43
      213      3610   6037.82
      213      3615   6039.21
      213      3620   6040.60
      213      3625   6041.99
      213      3630   6043.38
      213      3635   6044.77
      213      3640   6046.16
      213      3645   6047.55
      213      3650   6048.94
      213      3655   6050.33
      213      3660   6051.72
      213      3665   6053.11
      213      3670   6054.50
      213      3675   6055.90
      213      3680   6057.29
      213      3685   6058.68
      213      3690   6060.07
      213      3695   6061.46
      213      3700   6062.85
      213      3705   6064.24
      213      3710   6065.63
      213      3715   6067.02
      213      3720   6068.41
      213      3725   6069.80
      213      3730   6071.19
      213      3735   6072.58
      213      3740   6073.97
      213      3745   6075.37
      213      3750   6076.76
